                               Map:
 - - - - - - - - - - - - - - - - - & - - - - - - - - - - - - - -
 - % % % % % % % % % % % % % % % % * % % % % % % % % % % % % % -
 - % $ $ $ * $ * $ $ $ $ $ $ $ $ * * * $ $ $ $ $ $ * $ $ * $ % -
 - % * * * * $ * $ $ * * * * * * * * * * * * * * $ * * * * $ % -
 - % * $ $ * * * * * * $ $ * $ $ * $ $ $ * $ $ * * $ * $ * * % -
 - % * $ $ * $ $ $ $ * * * * * * * * * $ * $ $ * $ * * * * $ % -
 - % * * * $ $ $ $ * * $ $ * $ * $ * * * * * $ * * * * $ * $ % -
 - % $ $ * * * * $ * * * * * * * * * $ $ * * * * $ $ * * * $ % -
 - % * $ * $ $ $ $ $ $ $ $ $ * $ $ * $ $ * $ * $ $ * * $ * $ % -
 - % * * * * * * * * * * * * * $ $ * * * * * * * $ * $ $ * $ % -
 - % * $ * $ $ * $ * * * * $ $ $ * $ * $ * $ * $ $ $ $ $ * * % -
 - % $ * * $ $ * * $ $ $ * * * * * $ * $ * $ * $ * $ * $ $ $ % -
 - % * * * * * $ * $ $ $ * $ * * * $ * $ * * * * * * * * * * % -
 - % $ $ * $ * * * * $ * * * $ $ * * $ * * * $ $ * $ $ $ $ * % -
 - % * * * * * $ $ * $ * $ * $ $ * $ $ $ $ * $ $ * * * $ $ * % -
 - % $ * * $ * $ $ * $ * $ * $ * * * * * * * * * * $ * $ $ * % -
 - % $ * $ $ * * * * $ * * * * * $ * * * * $ $ * * * * * * * % -
 - % $ * * * $ * $ * * * * $ * $ $ * $ $ $ * * * $ $ * $ $ $ % -
 - % * $ * * $ * * $ * $ $ $ * $ $ * * * * * $ $ $ * * * * * % -
 - % * * $ $ $ * $ * * * $ $ * $ $ * $ $ $ * * * $ $ * $ $ $ % -
 - % $ * * * * * * * $ * * * * * * * * $ * * * * * * * * * $ % -
 - % $ * $ $ $ $ $ $ $ * $ $ * $ * $ * $ * $ $ $ $ * $ $ * * % -
 - % $ * * $ $ * * * * * * * * $ * * * * * * * * * * * * * * * #
 - % * * $ $ $ * * $ $ * $ $ * * * $ $ $ $ $ $ $ $ * * $ * * % -
 - % $ * $ $ $ $ * * * * * * * $ * * * * * $ * * * * $ $ * $ % -
 - % $ * * * * * * * $ $ * $ * $ * * $ * * * $ $ * * * * * $ % -
 - % * $ * $ $ $ $ * * * * * * * $ * $ * $ * * * * $ * $ * $ % -
 - % * * * * $ * * * * $ $ $ * * * * $ * $ * $ * * $ * $ * $ % -
 - % * $ $ * * $ $ $ * $ $ $ * $ $ * * * * * * * $ * * * * $ % -
 - % * $ $ * $ $ * * * $ $ * * $ $ * $ $ $ $ $ $ $ * $ $ * $ % -
 - % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % -
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
